,Unnamed: 0,comment_url,comment_createdAt,comment_id,comment_viewCount,comment_lang,comment_author_createdAt,comment_location,comment_text,isComment_self__decalred__location__El_Salvador,comment_processed_text,post_url,post_actor_createdAt,post_id,post_isReply,post_inReplyToId,post_isRetweet,post_isQuote,post_viewCount,post_retweetCount,post_likeCount,post_replyCount,post_lang,actor_location,post_name,post_description,post_followers,post_verified,post_text,isActor_self__decalred__location__El_Salvador,post_processed_text,actor_affiliation,llama3_output,llama3_reason,manual labeling
2323,7520,https://x.com/Dhdez7/status/1761519301453078998,1708813903.0,1.76152e+18,838.0,es,14/02/2010,Nuevo cuscatlan,@MarceloLarin1 🤣🤣🤣🤣 imparciales mis 🥚🥚 como la coyota va ser mejor? 🤣🤣🤣 esa señora solo sabe robar y traficar migrantes…,False,imparciales mis como la coyota va ser mejor esa señora solo sabe robar y traficar migrantes,https://x.com/MarceloLarin1/status/1761503340314116558,1708810098.0,1.7615e+18,False,,False,False,14443.0,7.0,69.0,136.0,es,ALPHA CENTAURI,MARCELO LARIN,"CONFERENCISTA, CONSULTOR Y ASESOR DE NAYIB BUKELE.",64221.0,True,"El ser libre e imparcial me permite dar opiniones libres así que dicho eso. 

Michell Sol es mejor que Milagro Navas, Michell es la mejor candidata que tiene N.I",False,el ser libre e imparcial me permite dar opiniones libres así que dicho eso michell sol es mejor que milagro navas michell es la mejor candidata que tiene ni,Media,-1.0,"The tweet expresses a negative sentiment towards the person mentioned, accusing them of robbing and trafficking migrants, which is a serious crime, and the tone is critical and disapproving.",-1
2418,7888,https://x.com/Jako503/status/1774991014958145687,1712025810.0,1.77499e+18,219.0,es,12/07/2022,,@MarceloLarin1 Y a vos te pagan por estar hablando en mal enque estamos entonces marci- ano ponete claro,False,y a vos te pagan por estar hablando en mal enque estamos entonces marci ano ponete claro,https://x.com/MarceloLarin1/status/1774927390013272344,1712010640.0,1.77493e+18,False,,False,False,9196.0,13.0,109.0,39.0,es,ALPHA CENTAURI,MARCELO LARIN,"CONFERENCISTA, CONSULTOR Y ASESOR DE NAYIB BUKELE.",64221.0,True,"Ese empleada del consulado, lo daré vergüenza cobrar por tuitear y estar defendiendo a los políticos?",False,ese empleada del consulado lo daré vergüenza cobrar por tuitear y estar defendiendo a los políticos,Media,-1.0,"The tweet expresses a negative sentiment as it criticizes someone for speaking poorly, implying that it is unacceptable behavior.",-1
981,3183,https://x.com/WilliamSorianor/status/1756089468317020339,1707519330.0,1.75609e+18,17.0,es,24/03/2022,"San Salvador, El Salvador",@easegura Hay hijo mío. La voluntad de la mayoría (pueblo) es la que vale.,True,hay hijo mío la voluntad de la mayoría pueblo es la que vale,https://x.com/easegura/status/1755993933346222579,1707496553.0,1.75599e+18,False,,False,False,48426.0,470.0,1564.0,88.0,es,"San Salvador, El Salvador",Edwin Segura,Periodista y docente universitario.,45379.0,False,"Yo tengo dos preguntas.
¿Con qué fuerzas moral alguien que votó por Bukele puede pedir que en el país se respete la ley si acaba de avalar una ilegalidad?
¿Con qué fuerza moral, Bukele puede pedir que todos cumplamos la ley si él es el primero en violarla?",True,yo tengo dos preguntas con qué fuerzas moral alguien que votó por bukele puede pedir que en el país se respete la ley si acaba de avalar una ilegalidad con qué fuerza moral bukele puede pedir que todos cumplamos la ley si él es el primero en violarla,"['Media', 'Academia']",0.0,"The tweet presents a neutral statement about the will of the majority of the people being what matters, without expressing a positive or negative sentiment.",0
444,1016,https://x.com/BatistaYan97840/status/1785861303015272542,1714617488.0,1.78586e+18,28.0,es,25/04/2024,,@nayibbukele Ya se puede vivir tranquilo en el salvador 🥰🥰,False,ya se puede vivir tranquilo en el salvador,https://x.com/nayibbukele/status/1785860243542417524,1714617236.0,1.78586e+18,False,,False,False,422778.0,1163.0,6055.0,344.0,es,El Salvador,Nayib Bukele,Philosopher King,6211018.0,True,"En el Centro Histórico, Franco's se traslada, con la convicción de que el sacrificio que hoy están haciendo, vale la pena por un El Salvador mejor para todos…

Incluso, para ellos mismos.

Estén pendientes... https://t.co/ghzdwrAKD3",True,en el centro histórico francos se traslada con la convicción de que el sacrificio que hoy están haciendo vale la pena por un el salvador mejor para todos incluso para ellos mismos estén pendientes,Government,1.0,"The tweet expresses a positive sentiment, stating that it's possible to live peacefully in El Salvador, conveying a sense of safety and tranquility.",1
2800,8786,https://x.com/josejovel/status/1660751492259692544,1684788985.0,1.66075e+18,88.0,es,19/09/2010,,@FranAlabi A las doctoras castigadas también hay que perdonarlas y reintegrarlas en su trabajo.,False,a las doctoras castigadas también hay que perdonarlas y reintegrarlas en su trabajo,https://x.com/FranAlabi/status/1660741726393212928,1684786657.0,1.66074e+18,False,,False,False,1281521.0,597.0,5573.0,1081.0,es,"San Salvador, El Salvador",Francisco Alabi 🇸🇻,Ministro de Salud 🇸🇻 Médico Cirujano Laparoscopista y Bariátrico,410702.0,True,"Pido disculpas a la población por mis declaraciones vertidas hoy en la mañana. Recibí información errónea acerca de la comunicación entre los operadores y las ambulancias ese día, donde informaban que una unidad había sido agredida.

Hemos verificado y no hemos encontrado ninguna prueba que certifique ese suceso.

Pido nuevamente disculpas ante la mala información y confirmo mi compromiso como servidor público ante la población.",True,pido disculpas a la población por mis declaraciones vertidas hoy en la mañana recibí información errónea acerca de la comunicación entre los operadores y las ambulancias ese día donde informaban que una unidad había sido agredida hemos verificado y no hemos encontrado ninguna prueba que certifique ese suceso pido nuevamente disculpas ante la mala información y confirmo mi compromiso como servidor público ante la población,Government,1.0,"The tweet expresses a positive sentiment by advocating for forgiveness and reintegration of doctors who have been punished, showing empathy and understanding.",0
2869,9053,https://x.com/elauditor1821/status/1664629507976773633,1685713576.0,1.66463e+18,89.0,es,15/05/2021,,"@easegura No demostró q como todo bien líder sabe perfectamente el actuar y proceder de la fiscalía, pasmado",False,no demostró q como todo bien líder sabe perfectamente el actuar y proceder de la fiscalía pasmado,https://x.com/easegura/status/1664508542294933504,1685684736.0,1.66451e+18,False,,False,False,72071.0,253.0,1167.0,120.0,es,"San Salvador, El Salvador",Edwin Segura,Periodista y docente universitario.,45378.0,False,"Bukele exhibió sin ningún pudor en cadena nacional que es él quien decide cuando el Fiscal General debe de actuar, y en contra de quién.",True,bukele exhibió sin ningún pudor en cadena nacional que es él quien decide cuando el fiscal general debe de actuar y en contra de quién,"['Media', 'Academia']",0.0,row with error,-1
973,3161,https://x.com/josemej84145366/status/1460092112553267201,1636948061.0,1.46009e+18,,es,04/05/2021,,@ChristianDiffer Pena de muerte para cualquier persona que en El Salvador se convierte en corrupto 💩💩💩💩,False,pena de muerte para cualquier persona que en el salvador se convierte en corrupto,https://x.com/ChristianDiffer/status/1460009018492170248,1636928250.0,1.46001e+18,False,,False,False,,214.0,903.0,40.0,es,El Salvador,Christian R. Differ,🇸🇻📚,15986.0,False,"Si se llega a discutir y considerar la propuesta de ""Pena de Muerte"" que no solo sea para pandilleros, que se incluya a políticos CORRUPTOS Y LADRONES.
😬😁 Excelente https://t.co/xGLwsiCcHP",True,si se llega a discutir y considerar la propuesta de pena de muerte que no solo sea para pandilleros que se incluya a políticos corruptos y ladrones excelente,Media,-1.0,"The tweet expresses a negative sentiment by stating that anyone who becomes corrupt in El Salvador will face the death penalty, implying criticism and disapproval of corruption.",-1
1671,5274,https://x.com/MSolano32321/status/1785790953548124615,1714600716.0,1.78579e+18,119.0,es,30/12/2023,,@fulloa51 Gracias vicepresidente @fulloa51 la verdadera clase trabajadora se presento esta mañana  1 de mayo a honrar alos martires que ofrendaron sus vidas para que hoy en dia tengamos 8 horas laborales mil gracias presidente @nayibbukele  @UnidadSindical_ @EquipoStisss @STISSS_,False,gracias vicepresidente la verdadera clase trabajadora se presento esta mañana 1 de mayo a honrar alos martires que ofrendaron sus vidas para que hoy en dia tengamos 8 horas laborales mil gracias presidente,https://x.com/fulloa51/status/1785645992382996952,1714566154.0,1.78565e+18,False,,False,False,54243.0,109.0,617.0,169.0,es,"San Salvador, El Salvador",Félix Ulloa,Vicepresidente de la República de El Salvador.,275995.0,True,"Felicitamos a la clase trabajadora que hoy conmemora sus luchas históricas y recuerda a sus mártires.
En nuestro país hay páginas gloriosas escritas con la sangre de obreros, campesinos, maestros y profesionales que hoy nos permiten vivir en libertad y democracia.¡Que vivan!",True,felicitamos a la clase trabajadora que hoy conmemora sus luchas históricas y recuerda a sus mártires en nuestro país hay páginas gloriosas escritas con la sangre de obreros campesinos maestros y profesionales que hoy nos permiten vivir en libertad y democraciaque vivan,Government,1.0,"The tweet expresses gratitude and admiration towards the Vice President and the working class, praising their efforts to honor the martyrs who fought for 8-hour workdays, showing a positive sentiment.",1
2858,9020,https://x.com/nelsonnelson69/status/1664648706035970048,1685718153.0,1.66465e+18,86.0,es,19/05/2011,Siberia,"@easegura Siempre a sido asi , por los siglos de los siglos.
Se hace lo que el presidente dice.",False,siempre a sido asi por los siglos de los siglos se hace lo que el presidente dice,https://x.com/easegura/status/1664508542294933504,1685684736.0,1.66451e+18,False,,False,False,72071.0,253.0,1167.0,120.0,es,"San Salvador, El Salvador",Edwin Segura,Periodista y docente universitario.,45378.0,False,"Bukele exhibió sin ningún pudor en cadena nacional que es él quien decide cuando el Fiscal General debe de actuar, y en contra de quién.",True,bukele exhibió sin ningún pudor en cadena nacional que es él quien decide cuando el fiscal general debe de actuar y en contra de quién,"['Media', 'Academia']",-1.0,"The tweet expresses a negative sentiment as it implies that the president's decisions are absolute and unquestionable, which can be seen as a criticism of the democratic process and the role of the president.",0
2644,8375,https://x.com/esmefisio20/status/1299517607184392192,1598664116.0,1.29952e+18,,es,27/02/2015,El Salvador,"@FranAlabi @grupo_samu Mil gracias, eso es hermandad y solidaridad",True,mil gracias eso es hermandad y solidaridad,https://x.com/FranAlabi/status/1299463579020730371,1598651234.0,1.29946e+18,False,,False,False,,824.0,5739.0,260.0,es,"San Salvador, El Salvador",Francisco Alabi 🇸🇻,Ministro de Salud 🇸🇻 Médico Cirujano Laparoscopista y Bariátrico,410700.0,True,"""Nos abrazaste, no pudiste, pero nos abrazaste"". 

Hemos despedido a los médicos de @grupo_samu y no alcanzan las palabras para agradecerles todo el apoyo.

Sé que hemos formado lazos y, en medio de esta lucha contra el #COVID19, nos hemos fortalecido mutuamente.

Hasta pronto. https://t.co/PiEezAkBc2",True,nos abrazaste no pudiste pero nos abrazaste hemos despedido a los médicos de y no alcanzan las palabras para agradecerles todo el apoyo sé que hemos formado lazos y en medio de esta lucha contra el nos hemos fortalecido mutuamente hasta pronto,Government,1.0,"The tweet expresses gratitude and appreciation, using phrases like'mil gracias' and 'hermandad y solidaridad', which convey a positive sentiment, praising the actions of others.",1
